,accident_type,day_of_week,dca_code,road_geometry,light_condition,speed_zone,severity,node_type,deg_urban_name,road_type,month,hour
174,4,1,173,5,1,100.0,0,N,RURAL_VICTORIA,ROAD,1,14.0
175,1,1,121,1,1,70.0,0,I,MELB_URBAN,ROAD,1,16.0
176,4,1,173,1,1,80.0,0,I,MELB_URBAN,ROAD,1,16.0
177,8,6,174,5,1,80.0,0,N,RURAL_VICTORIA,ROAD,1,17.0
178,1,1,110,1,1,60.0,0,I,TOWNS,AVENUE,1,18.0
179,1,1,99,5,1,50.0,0,I,MELBOURNE_CBD,STREET,1,15.0
180,1,1,121,2,2,60.0,0,I,MELB_URBAN,STREET,1,18.0
181,1,1,110,1,2,60.0,0,I,MELB_URBAN,ROAD,1,20.0
182,1,1,110,1,3,60.0,0,I,MELB_URBAN,STREET,1,21.0
183,3,1,167,5,5,100.0,0,N,RURAL_VICTORIA,ROAD,1,21.0
184,1,2,110,1,3,60.0,0,I,MELB_URBAN,STREET,1,0.0
185,4,2,171,5,5,100.0,0,N,MELB_URBAN,FREEWAY,1,2.0
186,1,2,130,5,1,100.0,0,N,RURAL_VICTORIA,ROAD,1,7.0
187,5,2,99,5,1,60.0,0,N,MELB_URBAN,ROAD,1,9.0
188,8,7,174,2,1,60.0,0,I,RURAL_VICTORIA,ROAD,1,14.0
189,6,2,99,5,1,50.0,0,N,LARGE_PROVINCIAL_CITIES,STREET,1,9.0
190,1,2,99,5,1,50.0,0,N,MELB_URBAN,AVENUE,1,8.0
191,2,2,100,5,1,50.0,0,N,MELB_URBAN,STREET,1,12.0
192,2,2,102,5,1,50.0,0,N,MELB_URBAN,STREET,1,13.0
193,1,1,110,1,1,50.0,0,I,MELB_URBAN,PARADE,1,14.0
194,2,2,99,2,1,50.0,0,I,MELB_URBAN,STREET,1,8.0
195,8,2,170,5,1,80.0,0,N,RURAL_VICTORIA,ROAD,1,13.0
196,1,2,99,5,1,50.0,0,N,MELB_URBAN,STREET,1,15.0
197,1,2,99,1,1,50.0,0,I,LARGE_PROVINCIAL_CITIES,STREET,1,16.0
198,1,2,160,5,1,50.0,0,N,MELB_URBAN,STREET,1,16.0
199,1,2,110,1,1,60.0,0,I,MELB_URBAN,STREET,1,17.0
200,8,1,174,2,6,60.0,0,I,MELB_URBAN,STREET,1,1.0
201,2,2,102,2,2,50.0,0,I,MELB_URBAN,OTHER,1,19.0
202,1,2,120,2,1,60.0,0,I,MELB_URBAN,STREET,1,17.0
203,1,2,110,1,1,60.0,1,I,TOWNS,STREET,1,16.0
204,1,0,133,5,6,50.0,0,N,MELB_URBAN,ROAD,1,19.0
205,1,2,113,2,1,80.0,0,I,MELB_URBAN,HIGHWAY,1,18.0
206,1,2,113,2,1,50.0,0,I,MELB_URBAN,STREET,1,15.0
207,8,2,99,2,3,50.0,0,I,LARGE_PROVINCIAL_CITIES,DRIVE,1,22.0
208,4,2,181,5,2,100.0,0,N,RURAL_VICTORIA,ROAD,1,20.0
209,1,3,110,4,3,60.0,0,I,MELB_URBAN,ROAD,1,0.0
210,4,3,171,5,3,60.0,0,N,MELB_URBAN,DRIVE,1,1.0
211,4,3,171,5,3,80.0,1,N,MELB_URBAN,ROAD,1,3.0
212,4,3,171,5,1,60.0,0,N,MELB_URBAN,HIGHWAY,1,8.0
213,1,3,120,5,1,100.0,0,N,RURAL_VICTORIA,HIGHWAY,1,7.0
214,1,3,99,1,1,60.0,0,I,MELB_URBAN,STREET,1,7.0
215,1,6,120,5,1,80.0,0,N,RURAL_VICTORIA,HIGHWAY,1,11.0
216,2,3,102,1,1,50.0,0,I,MELBOURNE_CBD,STREET,1,7.0
217,1,2,113,2,1,60.0,0,I,MELB_URBAN,ROAD,1,8.0
218,1,6,130,4,1,50.0,0,I,MELB_URBAN,STREET,1,17.0
219,1,3,121,2,1,60.0,0,I,MELB_URBAN,ROAD,1,10.0
220,1,3,130,5,1,60.0,0,N,MELB_URBAN,ROAD,1,8.0
221,4,3,173,2,1,60.0,0,I,MELB_URBAN,STREET,1,6.0
222,1,3,113,1,1,70.0,0,I,MELB_URBAN,ROAD,1,11.0
223,1,3,130,5,1,110.0,0,N,MELB_URBAN,ROAD,1,13.0
224,1,3,121,2,1,60.0,0,I,MELB_URBAN,STREET,1,15.0
225,1,3,99,2,1,70.0,0,I,SMALL_TOWNS,DRIVE,1,15.0
226,3,2,167,5,9,100.0,0,N,RURAL_VICTORIA,ROAD,1,0.0
227,2,3,102,2,1,70.0,0,I,MELB_URBAN,STREET,1,15.0
228,1,3,113,2,1,60.0,0,I,MELB_URBAN,ROAD,1,15.0
229,4,3,183,5,1,60.0,0,N,RURAL_VICTORIA,ROAD,1,11.0
230,1,5,99,5,1,60.0,0,N,MELB_URBAN,STREET,1,8.0
231,4,4,173,5,3,50.0,0,N,MELB_URBAN,ROAD,1,1.0
232,4,4,181,5,1,100.0,0,N,RURAL_VICTORIA,ROAD,1,6.0
233,1,4,113,1,1,50.0,0,I,TOWNS,STREET,1,8.0
234,1,4,121,4,1,80.0,0,N,RURAL_VICTORIA,RAMP,1,6.0
235,4,4,173,5,1,50.0,0,N,RURAL_VICTORIA,OTHER,1,8.0
236,1,4,110,1,1,60.0,0,I,LARGE_PROVINCIAL_CITIES,STREET,1,8.0
237,1,4,110,1,1,60.0,0,I,MELB_URBAN,ROAD,1,9.0
238,1,4,113,2,1,70.0,0,I,MELB_URBAN,ROAD,1,10.0
239,1,3,120,2,1,60.0,0,I,TOWNS,ROAD,1,17.0
240,1,4,147,5,1,30.0,0,N,MELB_URBAN,DRIVE,1,10.0
241,1,4,147,2,1,60.0,0,N,MELB_URBAN,BOULEVARD,1,8.0
242,1,4,130,1,1,80.0,0,I,MELB_URBAN,ROAD,1,11.0
243,8,4,99,5,1,60.0,0,N,RURAL_VICTORIA,HIGHWAY,1,11.0
244,1,4,110,1,1,80.0,0,I,MELB_URBAN,ROAD,1,12.0
245,1,4,147,5,1,80.0,0,N,MELB_URBAN,HIGHWAY,1,13.0
246,1,4,120,5,1,70.0,0,N,RURAL_VICTORIA,HIGHWAY,1,11.0
247,6,4,170,2,1,100.0,0,I,RURAL_VICTORIA,ROAD,1,11.0
248,1,4,130,5,1,80.0,0,N,MELB_URBAN,STREET,1,11.0
249,6,3,174,5,1,60.0,0,N,TOWNS,ROAD,1,18.0
250,2,4,102,5,1,50.0,0,N,MELB_URBAN,OTHER,1,12.0
251,4,4,173,5,1,100.0,0,N,RURAL_VICTORIA,HIGHWAY,1,12.0
252,1,4,132,2,1,100.0,0,I,RURAL_VICTORIA,HIGHWAY,1,11.0
253,4,4,173,5,1,60.0,0,N,MELB_URBAN,ROAD,1,13.0
254,1,4,121,1,1,60.0,0,I,LARGE_PROVINCIAL_CITIES,STREET,1,15.0
255,1,4,160,5,1,100.0,0,N,RURAL_VICTORIA,FREEWAY,1,13.0
256,1,4,140,5,1,60.0,0,N,SMALL_CITIES,STREET,1,14.0
257,1,4,132,2,1,60.0,0,I,MELB_URBAN,DRIVE,1,16.0
258,1,4,120,5,1,100.0,0,N,RURAL_VICTORIA,HIGHWAY,1,14.0
259,4,4,171,5,1,70.0,0,N,MELB_URBAN,ROAD,1,17.0
260,6,4,170,5,1,100.0,0,N,RURAL_VICTORIA,ROAD,1,8.0
